# Sensor Lundemosen, Greve Strand, Denmark (Citizen Science project sensor.community/78298)
# https://aqicn.org/station/@370306/
# Daily pm25
date,min,max,median,q1,q3,stdev,count
2023-05-15T00:00:00.000Z,3.53,8.38,5.93,4.79,7,1.218,552
2023-05-16T00:00:00.000Z,2.78,16.75,4.18,3.6,7.59,3.726,452
2023-05-17T00:00:00.000Z,1.02,4.72,1.85,1.5,2.4,0.611,553
2023-05-18T00:00:00.000Z,2.17,8.43,3.2,2.9,3.67,1.038,563
2023-05-19T00:00:00.000Z,1.3,9.5,3.13,2.29,5.32,1.796,563
2023-05-20T00:00:00.000Z,1.2,13.9,1.85,1.7,2.1,0.629,566
2023-05-21T00:00:00.000Z,2.02,11.23,3.53,2.67,5.42,1.759,561
2023-05-22T00:00:00.000Z,2.2,17.55,2.9,2.67,3.22,0.863,523
2023-05-23T00:00:00.000Z,3.17,7.88,4.63,4.21,5,0.669,565
2023-05-24T00:00:00.000Z,4.59,13.38,7.45,6.8,8.05,1.035,571
2023-05-25T00:00:00.000Z,2.63,6.63,3.92,3.5,4.46,0.75,532
2023-05-26T00:00:00.000Z,1.25,9.05,3.3,2.5,4.68,1.316,426
2023-05-27T00:00:00.000Z,1.92,6.18,3.65,3.08,4.28,0.77,457
2023-05-28T00:00:00.000Z,1.77,7.6,2.97,2.52,4.09,1.018,483
2023-05-29T00:00:00.000Z,1.33,7.6,2.34,1.8,3.22,0.86,502
2023-05-30T00:00:00.000Z,1.42,15.65,2.72,1.9,3.75,1.211,573
2023-05-31T00:00:00.000Z,1.1,5.35,3.13,2.8,3.5,0.633,353
2023-06-01T00:00:00.000Z,1.3,19.2,2.8,2.13,4.05,1.314,575
2023-06-02T00:00:00.000Z,0.82,7.75,1.7,1.25,2.02,0.631,576
2023-06-03T00:00:00.000Z,1.1,6.47,1.63,1.42,1.92,0.456,470
2023-06-04T00:00:00.000Z,2.04,5.78,3,2.78,3.4,0.539,578
2023-06-05T00:00:00.000Z,1.95,8.25,4.55,3.3,5.43,1.298,567
